child_number,age_of_mother,age_of_child,p
1,42,10,0.0518962075848303
1,42,11,0.06187624750499
1,42,12,0.0469061876247505
1,42,13,0.0528942115768463
1,42,14,0.0379241516966068
1,42,15,0.0389221556886228
1,42,16,0.0409181636726547
1,42,17,0.0219560878243513
1,42,18,0.0279441117764471
1,42,19,0.0239520958083832
1,42,20,0.0209580838323353
1,42,21,0.00998003992015968
1,42,22,0.00698602794411178
1,42,23,0.0149700598802395
1,42,24,0.00499001996007984
1,42,25,0.00598802395209581
1,43,0,0.0161137440758294
1,43,1,0.0170616113744076
1,43,2,0.018957345971564
1,43,3,0.0407582938388626
1,43,4,0.0464454976303318
1,43,5,0.039810426540284397
1,43,6,0.0464454976303318
1,43,7,0.0748815165876777
1,43,8,0.0672985781990521
1,43,9,0.0597156398104265
1,43,10,0.0729857819905213
1,43,11,0.0530805687203791
1,43,12,0.0502369668246445
1,43,13,0.0559241706161137
1,43,14,0.0511848341232227
1,43,15,0.0464454976303318
1,43,16,0.0492890995260664
1,43,17,0.0388625592417062
1,43,18,0.0369668246445498
1,43,19,0.0255924170616114
1,43,20,0.0274881516587678
1,43,21,0.0255924170616114
1,43,22,0.00663507109004739
1,43,23,0.0132701421800948
1,43,24,0.00758293838862559
1,43,25,0.0037914691943128
1,43,26,0.0037914691943128
1,43,27,0.0037914691943128
1,44,0,0.00392156862745098
1,44,1,0.0147058823529412
1,44,2,0.0245098039215686
1,44,3,0.0235294117647059
1,44,4,0.0294117647058824
1,44,5,0.0382352941176471
1,44,6,0.046078431372549
1,44,7,0.0558823529411765
1,44,8,0.0588235294117647
1,44,9,0.053921568627451
1,44,10,0.0607843137254902
1,44,11,0.0637254901960784
1,44,12,0.053921568627451
1,44,13,0.0480392156862745
1,44,14,0.0480392156862745
1,44,15,0.053921568627451
1,44,16,0.0598039215686275
1,44,17,0.0568627450980392
1,44,18,0.0519607843137255
1,44,19,0.0323529411764706
1,44,20,0.0333333333333333
1,44,21,0.0225490196078431
1,44,22,0.0166666666666667
1,44,23,0.0156862745098039
1,44,24,0.0107843137254902
1,44,25,0.0107843137254902
1,44,26,0.00294117647058824
1,44,27,0.00490196078431373
1,44,28,0.00294117647058824
1,44,29,9.80392156862745e-4
1,45,0,0.0062780269058296
1,45,1,0.010762331838565
1,45,2,0.00807174887892377
1,45,3,0.02152466367713
1,45,4,0.0295964125560538
1,45,5,0.0367713004484305
1,45,6,0.0349775784753363
1,45,7,0.0502242152466368
1,45,8,0.0457399103139013
1,45,9,0.0591928251121076
